2024-04-07 21:47:46,040 INFO    MainThread:4616 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-04-07 21:47:46,041 INFO    MainThread:4616 [wandb_setup.py:_flush():76] Configure stats pid to 4616
2024-04-07 21:47:46,041 INFO    MainThread:4616 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Admin\.config\wandb\settings
2024-04-07 21:47:46,041 INFO    MainThread:4616 [wandb_setup.py:_flush():76] Loading settings from D:\OneDrive - Hanoi University of Science and Technology\My Git\Uniqlo-price-prediction\wandb\settings
2024-04-07 21:47:46,041 INFO    MainThread:4616 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-07 21:47:46,041 INFO    MainThread:4616 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-07 21:47:46,041 INFO    MainThread:4616 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train_uniqlo.py', 'program_abspath': 'D:\\OneDrive - Hanoi University of Science and Technology\\My Git\\Uniqlo-price-prediction\\train_uniqlo.py', 'program': 'D:\\OneDrive - Hanoi University of Science and Technology\\My Git\\Uniqlo-price-prediction\\train_uniqlo.py'}
2024-04-07 21:47:46,041 INFO    MainThread:4616 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-07 21:47:46,041 INFO    MainThread:4616 [wandb_init.py:_log_setup():521] Logging user logs to D:\OneDrive - Hanoi University of Science and Technology\My Git\Uniqlo-price-prediction\wandb\run-20240407_214746-a61gob9d\logs\debug.log
2024-04-07 21:47:46,041 INFO    MainThread:4616 [wandb_init.py:_log_setup():522] Logging internal logs to D:\OneDrive - Hanoi University of Science and Technology\My Git\Uniqlo-price-prediction\wandb\run-20240407_214746-a61gob9d\logs\debug-internal.log
2024-04-07 21:47:46,041 INFO    MainThread:4616 [wandb_init.py:init():561] calling init triggers
2024-04-07 21:47:46,041 INFO    MainThread:4616 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {'batchsize': 8, 'train_epoch': 500, 'height': 256, 'width': 256, 'workers': 4, 'lr_ft': 0.01, 'lr_new': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'device': '0', 'redirector': True, 'use_bn': True, 'use_pretrain': False, 'pretrain_model': 'path_to_model.pt', 'checkpoint': './exp'}
2024-04-07 21:47:46,042 INFO    MainThread:4616 [wandb_init.py:init():611] starting backend
2024-04-07 21:47:46,042 INFO    MainThread:4616 [wandb_init.py:init():615] setting up manager
2024-04-07 21:47:46,043 INFO    MainThread:4616 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-04-07 21:47:46,045 INFO    MainThread:4616 [wandb_init.py:init():623] backend started and connected
2024-04-07 21:47:46,049 INFO    MainThread:4616 [wandb_init.py:init():715] updated telemetry
2024-04-07 21:47:46,080 INFO    MainThread:4616 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-04-07 21:47:46,880 INFO    MainThread:4616 [wandb_run.py:_on_init():2357] communicating current version
2024-04-07 21:47:47,393 INFO    MainThread:4616 [wandb_run.py:_on_init():2366] got version response 
2024-04-07 21:47:47,393 INFO    MainThread:4616 [wandb_init.py:init():799] starting run threads in backend
2024-04-07 21:48:00,884 INFO    MainThread:4616 [wandb_run.py:_console_start():2335] atexit reg
2024-04-07 21:48:00,884 INFO    MainThread:4616 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-04-07 21:48:00,884 INFO    MainThread:4616 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-04-07 21:48:00,884 INFO    MainThread:4616 [wandb_run.py:_redirect():2280] Redirects installed.
2024-04-07 21:48:00,885 INFO    MainThread:4616 [wandb_init.py:init():842] run started, returning control to user process
